price,bed,bath,surface_area,Bantul,Gunung Kidul,Kulon Progo,Sleman,Yogyakarta
795000000,3,2,98.0,False,False,False,True,False
2200000000,4,2,250.0,False,False,False,True,False
549000000,2,1,90.0,False,False,False,True,False
549000000,2,1,90.0,False,False,False,True,False
8000000000,11,6,618.0,False,False,False,True,False
1100000000,4,2,115.0,False,False,False,True,False
720000000,3,2,87.0,False,False,False,True,False
720000000,3,2,87.0,False,False,False,True,False
2300000000,4,3,160.0,False,False,False,True,False
2430000000,4,3,192.0,False,False,False,True,False
2650000000,4,3,213.0,False,False,False,True,False
2950000000,15,15,200.0,False,False,False,True,False
2100000000,3,2,223.0,False,False,False,True,False
2490000000,4,3,200.0,False,False,False,True,False
591000000,2,1,84.0,False,False,False,True,False
571000000,2,1,79.0,False,False,False,True,False
1380000000,3,2,103.0,False,False,False,True,False
2880000000,11,11,207.0,False,False,False,True,False
1350000000,3,2,100.0,False,False,False,True,False
520000000,2,1,90.0,False,False,False,True,False
2400000000,4,3,187.0,False,False,False,True,False
1480000000,3,2,125.0,False,False,False,True,False
2430000000,4,3,192.0,False,False,False,True,False
2460000000,4,3,196.0,False,False,False,True,False
2360000000,4,3,182.0,False,False,False,True,False
2400000000,4,3,187.0,False,False,False,True,False
2650000000,4,3,213.0,False,False,False,True,False
700000000,2,2,108.0,False,False,False,True,False
725000000,2,1,120.0,False,False,False,True,False
549000000,2,1,90.0,False,False,False,True,False
850000000,3,1,96.0,False,False,False,True,False
2300000000,3,3,204.0,False,False,False,True,False
1900000000,5,4,158.0,False,False,False,True,False
1380000000,3,2,107.0,False,False,False,True,False
1600000000,4,4,131.0,False,False,False,True,False
1900000000,5,6,166.0,False,False,False,True,False
3000000000,3,3,229.0,False,False,False,True,False
1100000000,2,1,110.0,False,False,False,True,False
730000000,3,2,100.0,False,False,False,True,False
590000000,2,1,98.0,False,False,False,True,False
3600000000,7,2,285.0,False,False,False,True,False
1350000000,4,3,115.0,False,False,False,True,False
725000000,3,2,87.0,False,False,False,True,False
725000000,3,2,96.0,False,False,False,True,False
2500000000,4,3,215.0,False,False,False,True,False
1600000000,3,3,122.0,False,False,False,True,False
745000000,2,2,98.0,False,False,False,True,False
2140000000,4,3,196.0,False,False,False,True,False
1600000000,4,3,169.0,False,False,False,True,False
1900000000,3,3,128.0,False,False,False,True,False
756000000,3,1,108.0,False,False,False,True,False
1800000000,3,3,128.0,False,False,False,True,False
2040000000,4,3,182.0,False,False,False,True,False
1500000000,4,3,156.0,False,False,False,True,False
1600000000,4,2,127.0,False,False,False,True,False
3000000000,6,5,225.0,False,False,False,True,False
1800000000,10,4,123.0,False,False,False,True,False
950000000,4,4,90.0,False,False,False,True,False
598000000,2,1,90.0,False,False,False,True,False
598000000,2,1,90.0,False,False,False,True,False
775000000,3,2,113.0,False,False,False,True,False
775000000,3,2,113.0,False,False,False,True,False
2320000000,4,3,213.0,False,False,False,True,False
2340000000,4,3,184.0,False,False,False,True,False
598000000,2,1,90.0,False,False,False,True,False
695000000,2,2,100.0,False,False,False,True,False
695000000,2,2,100.0,False,False,False,True,False
790000000,3,2,113.0,False,False,False,True,False
475000000,2,1,75.0,False,False,False,True,False
780000000,3,2,115.0,False,False,False,True,False
800000000,3,2,107.0,False,False,False,True,False
4700000000,4,3,334.0,False,False,False,True,False
2000000000,10,10,205.0,False,False,False,True,False
756000000,2,1,95.0,False,False,False,True,False
961000000,3,3,107.0,False,False,False,True,False
875000000,3,2,107.0,False,False,False,True,False
1780000000,3,3,160.0,False,False,False,True,False
1550000000,3,2,126.0,False,False,False,True,False
1300000000,3,2,135.0,False,False,False,True,False
1200000000,3,2,124.0,False,False,False,True,False
350000000,2,2,67.0,False,False,False,True,False
1900000000,4,3,130.0,False,False,False,True,False
999000000,3,3,103.0,False,False,False,True,False
4500000000,5,4,365.0,False,False,False,True,False
550000000,2,1,108.0,False,False,False,True,False
897000000,3,2,107.0,False,False,False,True,False
640000000,2,1,91.0,False,False,False,True,False
350000000,2,2,67.0,False,False,False,True,False
550000000,2,1,108.0,False,False,False,True,False
1100000000,2,2,112.0,False,False,False,True,False
1000000000,3,2,128.0,False,False,False,True,False
515000000,2,1,95.0,False,False,False,True,False
730000000,3,2,100.0,False,False,False,True,False
1750000000,4,2,128.0,False,False,False,True,False
1300000000,4,3,96.0,False,False,False,True,False
775000000,2,1,136.0,False,False,False,True,False
3000000000,11,7,242.0,False,False,False,True,False
4500000000,2,3,348.0,False,False,False,True,False
675000000,2,1,128.0,False,False,False,True,False
1970000000,5,6,160.0,False,False,False,True,False
850000000,3,3,98.0,False,False,False,True,False
1250000000,3,2,105.0,False,False,False,True,False
1200000000,3,3,80.0,False,False,False,True,False
2100000000,4,3,154.0,False,False,False,True,False
1650000000,1,2,351.0,False,False,False,True,False
1650000000,4,3,125.0,False,False,False,True,False
1400000000,3,2,133.0,False,False,False,True,False
1300000000,3,2,174.0,False,False,False,True,False
1650000000,2,2,135.0,False,False,False,True,False
1990000000,3,2,194.0,False,False,False,True,False
1300000000,3,2,131.0,False,False,False,True,False
