price,listing-location,bed,bath,surface_area,location,price_per_surface
1260000000,"Gondokusuman, Yogyakarta",3,3,103.0,Yogyakarta,12233009.708737863
3000000000,"Depok, Sleman",3,3,200.0,Sleman,15000000.0
1500000000,"Depok, Sleman",5,3,158.0,Sleman,9493670.88607595
1900000000,"Depok, Sleman",14,4,329.0,Sleman,5775075.987841945
850000000,"Maguwoharjo, Yogyakarta",3,2,112.0,Yogyakarta,7589285.714285715
4000000000,"Kalasan, Sleman",10,7,985.0,Sleman,4060913.7055837563
725000000,"Mlati, Sleman",2,1,114.0,Sleman,6359649.1228070175
1970000000,"Maguwoharjo, Yogyakarta",5,6,166.0,Yogyakarta,11867469.879518073
499000000,"Sleman, Sleman",2,1,120.0,Sleman,4158333.3333333335
1650000000,"Godean, Sleman",4,3,103.0,Sleman,16019417.475728156
890000000,"Nologaten, Yogyakarta",3,2,85.0,Yogyakarta,10470588.235294119
1270000000,"Banguntapan, Bantul",3,2,91.0,Bantul,13956043.956043957
725000000,"Cebongan, Sleman",3,2,71.0,Sleman,10211267.605633803
1900000000,"Sedayu, Bantul",2,1,180.0,Bantul,10555555.555555556
1700000000,"Ngaglik, Sleman",3,3,100.0,Sleman,17000000.0
1400000000,"Sleman, Yogyakarta",3,1,120.0,Yogyakarta,11666666.666666666
2150000000,"Maguwoharjo, Yogyakarta",15,5,238.0,Yogyakarta,9033613.44537815
1450000000,"Depok, Sleman",3,2,80.0,Sleman,18125000.0
756000000,"Ngaglik, Sleman",3,2,104.0,Sleman,7269230.769230769
735000000,"Ngaglik, Sleman",3,2,70.0,Sleman,10500000.0
640000000,"Ngaglik, Sleman",2,1,95.0,Sleman,6736842.105263158
820000000,"Purwomartani   , Sleman",3,2,109.0,Sleman,7522935.779816514
999000000,"Ngemplak, Sleman",3,3,100.0,Sleman,9990000.0
155000000,"Ngaglik, Sleman",2,1,88.0,Sleman,1761363.6363636365
885000000,"Maguwoharjo, Yogyakarta",4,2,142.0,Yogyakarta,6232394.366197183
2500000000,"Depok, Sleman",9,9,150.0,Sleman,16666666.666666666
3500000000,"Ngaglik, Sleman",15,13,342.0,Sleman,10233918.12865497
789000000,"Ngaglik, Sleman",2,1,93.0,Sleman,8483870.967741935
775000000,"Maguwoharjo, Yogyakarta",3,2,132.0,Yogyakarta,5871212.121212121
450000000,"Godean, Sleman",2,1,82.0,Sleman,5487804.87804878
1850000000,"Kasihan, Bantul",4,3,149.0,Bantul,12416107.382550336
1450000000,"Depok, Sleman",3,3,110.0,Sleman,13181818.181818182
445000000,"Piyungan, Bantul",3,2,83.0,Bantul,5361445.78313253
699000000,"Ngaglik, Sleman",3,2,117.0,Sleman,5974358.974358974
445000000,"Piyungan, Bantul",3,2,83.0,Bantul,5361445.78313253
450000000,"Godean, Sleman",2,1,83.0,Sleman,5421686.746987952
999000000,"Ngaglik, Sleman",3,2,137.0,Sleman,7291970.802919708
1820000000,"Gamping, Sleman",3,3,140.0,Sleman,13000000.0
689000000,"Depok, Sleman",13,11,235.0,Sleman,2931914.8936170214
668000000,"Maguwoharjo, Yogyakarta",3,2,120.0,Yogyakarta,5566666.666666667
599000000,"Kotagede, Yogyakarta",2,1,90.0,Yogyakarta,6655555.555555556
1850000000,"Godean, Sleman",3,3,329.0,Sleman,5623100.303951368
775000000,"Purwomartani   , Sleman",3,2,145.0,Sleman,5344827.586206896
2490000000,"Maguwoharjo, Yogyakarta",3,3,123.0,Yogyakarta,20243902.43902439
6500000000,"Bantul, Yogyakarta",5,5,717.0,Yogyakarta,9065550.90655509
750000000,"Ngaglik, Sleman",2,2,99.0,Sleman,7575757.575757576
1650000000,"Depok, Sleman",3,3,130.0,Sleman,12692307.692307692
999000000,"Depok, Sleman",4,4,103.0,Sleman,9699029.126213592
849000000,"Ngaglik, Sleman",3,2,120.0,Sleman,7075000.0
595000000,"Kalasan, Sleman",3,1,103.0,Sleman,5776699.029126214
4500000000,"Gondokusuman, Yogyakarta",15,5,448.0,Yogyakarta,10044642.857142856
595000000,"Kalasan, Sleman",3,1,103.0,Sleman,5776699.029126214
1400000000,"Sleman, Sleman",4,2,150.0,Sleman,9333333.333333334
3300000000,"Depok, Sleman",20,8,275.0,Sleman,12000000.0
1540000000,"Ngaglik, Sleman",4,4,120.0,Sleman,12833333.333333334
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
1650000000,"Bantul, Bantul",4,3,113.0,Bantul,14601769.911504425
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
1400000000,"Kalasan, Sleman",4,4,428.0,Sleman,3271028.037383178
2100000000,"Ngaglik, Sleman",10,11,121.0,Sleman,17355371.900826447
1450000000,"Ngemplak, Sleman",3,2,100.0,Sleman,14500000.0
1450000000,"Ngemplak, Sleman",3,2,100.0,Sleman,14500000.0
10000000000,"Danurejan, Yogyakarta",5,5,497.0,Yogyakarta,20120724.34607646
450000000,"Banguntapan, Bantul",2,1,103.0,Bantul,4368932.038834952
42100000000,"Wirobrajan, Yogyakarta",6,2,4213.0,Yogyakarta,9992879.183479706
895000000,"Kalasan, Sleman",3,2,85.0,Sleman,10529411.764705881
14000000000,"Umbulharjo, Yogyakarta",2,2,990.0,Yogyakarta,14141414.141414141
2290000000,"Mlati, Sleman",3,2,130.0,Sleman,17615384.615384616
1250000000,"Godean, Sleman",3,3,110.0,Sleman,11363636.363636363
562000000,"Sleman, Sleman",2,1,53.0,Sleman,10603773.58490566
725000000,"Sleman, Sleman",3,2,114.0,Sleman,6359649.1228070175
11000000000,"Caturtunggal, Yogyakarta",15,3,580.0,Yogyakarta,18965517.24137931
8000000000,"Kalasan, Sleman",16,3,385.0,Sleman,20779220.77922078
700000000,"Kalasan, Sleman",2,1,94.0,Sleman,7446808.510638298
2300000000,"Mlati, Sleman",3,3,123.0,Sleman,18699186.99186992
3800000000,"Caturtunggal, Sleman",40,40,110.0,Sleman,34545454.54545455
1900000000,"Ngaglik, Sleman",2,1,198.0,Sleman,9595959.595959596
1820000000,"Wirobrajan, Yogyakarta",3,2,140.0,Yogyakarta,13000000.0
1250000000,"Jombor, Sleman",4,3,108.0,Sleman,11574074.074074075
675000000,"Gamping, Sleman",3,2,108.0,Sleman,6250000.0
1200000000,"Sedayu, Bantul",3,2,436.0,Bantul,2752293.5779816513
