price,listing-location,bed,bath,surface_area,location
310000000,"Wonosari, Gunung Kidul",2,1,72.0,Gunung Kidul
310000000,"Wonosari, Gunung Kidul",2,1,72.0,Gunung Kidul
315000000,"Wonosari, Gunung Kidul",2,1,45.0,Gunung Kidul
312000000,"Wonosari, Gunung Kidul",2,1,45.0,Gunung Kidul
3100000000,"Mlati, Sleman",7,4,225.0,Sleman
375000000,"Sedayu, Bantul",2,1,82.0,Bantul
2100000000,"Depok, Sleman",3,3,139.0,Sleman
2000000000,"Umbulharjo, Yogyakarta",4,2,105.0,Yogyakarta
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul
4200000000,"Mlati, Sleman",4,4,564.0,Sleman
1280000000,"Ngaglik, Sleman",3,3,134.0,Sleman
270000000,"Prambanan, Sleman",2,1,61.0,Sleman
3100000000,"Mlati, Sleman",7,4,225.0,Sleman
1780000000,"Gamping, Sleman",3,3,119.0,Sleman
598000000,"Berbah, Sleman",2,1,90.0,Sleman
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul
4200000000,"Mlati, Sleman",4,4,564.0,Sleman
25000000000,"Pakualaman, Yogyakarta",9,9,429.0,Yogyakarta
1820000000,"Gamping, Sleman",3,2,140.0,Sleman
2900000000,"Pakem, Sleman",2,3,380.0,Sleman
499000000,"Ngaglik, Sleman",2,1,120.0,Sleman
4250000000,"Mantrijeron, Yogyakarta",3,3,425.0,Yogyakarta
592000000,"Sayegan, Sleman",2,1,91.0,Sleman
985000000,"Depok, Sleman",2,2,125.0,Sleman
890000000,"Banguntapan, Bantul",3,2,85.0,Bantul
5000000000,"Pakem, Sleman",8,7,1031.0,Sleman
4750000000,"Ngaglik, Sleman",5,5,419.0,Sleman
1250000000,"Depok, Sleman",2,1,130.0,Sleman
790000000,"Banguntapan, Bantul",3,2,75.0,Bantul
4200000000,"Depok, Sleman",5,4,230.0,Sleman
250000000,"Jetis, Bantul",2,1,76.0,Bantul
600000000,"Sleman, Sleman",3,1,167.0,Sleman
6900000000,"Ngaglik, Sleman",5,3,843.0,Sleman
3800000000,"Sleman, Sleman",3,3,199.0,Sleman
407000000,"Jetis, Bantul",2,1,80.0,Bantul
297000000,"Bantul, Bantul",2,1,75.0,Bantul
400000000,"Pajangan, Bantul",2,1,90.0,Bantul
1450000000,"Kraton, Yogyakarta",3,3,110.0,Yogyakarta
1940000000,"Danurejan, Yogyakarta",3,3,150.0,Yogyakarta
400000000,"Pajangan, Bantul",2,1,90.0,Bantul
580000000,"Cebongan, Yogyakarta",3,2,101.0,Yogyakarta
850000000,"Banguntapan, Bantul",3,2,102.0,Bantul
850000000,"Banguntapan, Bantul",3,2,102.0,Bantul
850000000,"Kraton, Yogyakarta",4,3,126.0,Yogyakarta
350000000,"Sedayu, Bantul",2,1,105.0,Bantul
2120000000,"Sewon, Bantul",4,4,120.0,Bantul
2120000000,"Sewon, Bantul",4,4,120.0,Bantul
808000000,"Bantul, Bantul",3,2,85.0,Bantul
690000000,"Banguntapan, Bantul",3,2,78.0,Bantul
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul
1250000000,"Depok, Sleman",10,4,128.0,Sleman
870000000,"Godean, Sleman",3,2,135.0,Sleman
2600000000,"Maguwoharjo, Yogyakarta",4,3,150.0,Yogyakarta
300000000,"Pajangan, Bantul",2,1,74.0,Bantul
2300000000,"Kaliurang, Sleman",8,9,98.0,Sleman
1600000000,"Danurejan, Yogyakarta",4,2,125.0,Yogyakarta
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul
1600000000,"Bantul, Bantul",4,3,193.0,Bantul
6500000000,"Bantul, Bantul",5,5,455.0,Bantul
1750000000,"Tegalrejo, Yogyakarta",4,4,187.0,Yogyakarta
3500000000,"Depok, Sleman",4,3,728.0,Sleman
3500000000,"Depok, Sleman",4,3,728.0,Sleman
299000000,"Gamping, Sleman",2,1,74.0,Sleman
3000000000,"Bantul, Bantul",4,2,262.0,Bantul
385000000,"Mlati, Sleman",3,2,63.0,Sleman
900000000,"Godean, Sleman",3,2,133.0,Sleman
1300000000,"Umbulharjo, Yogyakarta",3,3,135.0,Yogyakarta
280000000,"Ngaglik, Sleman",2,1,88.0,Sleman
1600000000,"Prambanan, Sleman",3,2,530.0,Sleman
250000000,"Ngaglik, Sleman",2,1,88.0,Sleman
42000000000,"Umbulharjo, Yogyakarta",5,4,1769.0,Yogyakarta
1750000000,"Mlati, Sleman",3,2,131.0,Sleman
4600000000,"Caturtunggal, Sleman",5,3,443.0,Sleman
900000000,"Ngaglik, Sleman",2,2,108.0,Sleman
595000000,"Banguntapan, Bantul",3,1,93.0,Bantul
852000000,"Depok, Sleman",4,2,142.0,Sleman
700000000,"Mlati, Sleman",3,2,106.0,Sleman
2300000000,"Mlati, Sleman",8,8,98.0,Sleman
1290000000,"Banguntapan, Bantul",4,3,99.0,Bantul
375000000,"Kalasan, Sleman",2,1,72.0,Sleman
1470000000,"Depok, Sleman",4,4,178.0,Sleman
462000000,"Sleman, Yogyakarta",1,1,201.0,Yogyakarta
1560000000,"Sleman, Sleman",1,1,209.0,Sleman
550000000,"Ngemplak, Sleman",3,2,82.0,Sleman
2500000000,"Depok, Sleman",3,2,123.0,Sleman
495000000,"Imogiri              , Bantul",3,1,141.0,Bantul
475000000,"Cebongan, Sleman",2,1,90.0,Sleman
5500000000,"Gondokusuman, Yogyakarta",4,4,287.0,Yogyakarta
700000000,"Kalasan, Sleman",2,2,100.0,Sleman
250000000,"Ngaglik, Sleman",2,1,88.0,Sleman
580000000,"Kalasan, Sleman",3,2,100.0,Sleman
765000000,"Purwomartani   , Sleman",3,2,118.0,Sleman
1880000000,"Kotagede, Yogyakarta",3,2,150.0,Yogyakarta
500000000,"Sewon, Bantul",3,1,97.0,Bantul
278000000,"Sentolo, Kulon Progo",2,1,72.0,Kulon Progo
495000000,"Gamping, Sleman",2,1,107.0,Sleman
495000000,"Gamping, Sleman",2,1,107.0,Sleman
278000000,"Sentolo, Kulon Progo",2,1,72.0,Kulon Progo
900000000,"Kotagede, Yogyakarta",4,2,140.0,Yogyakarta
1950000000,"Kasihan, Bantul",3,2,168.0,Bantul
897000000,"Ngemplak, Sleman",3,2,107.0,Sleman
730000000,"Condong Catur, Sleman",3,2,100.0,Sleman
513000000,"Playen, Gunung Kidul",2,1,79.0,Gunung Kidul
1980000000,"Kalasan, Sleman",3,3,150.0,Sleman
990000000,"Maguwoharjo, Yogyakarta",3,3,103.0,Yogyakarta
278000000,"Sentolo, Kulon Progo",2,1,71.0,Kulon Progo
600000000,"Ngaglik, Sleman",1,1,225.0,Sleman
695000000,"Maguwoharjo, Yogyakarta",3,2,94.0,Yogyakarta
900000000,"Godean, Sleman",2,2,133.0,Sleman
2360000000,"Sleman, Sleman",4,3,182.0,Sleman
850000000,"Ngaglik, Sleman",2,2,106.0,Sleman
600000000,"Kaliurang, Sleman",3,2,123.0,Sleman
2600000000,"Mlati, Sleman",5,4,150.0,Sleman
1700000000,"Mlati, Sleman",4,3,110.0,Sleman
1970000000,"Ngaglik, Sleman",4,3,135.0,Sleman
1750000000,"Mlati, Sleman",8,4,176.0,Sleman
1200000000,"Depok, Sleman",7,3,157.0,Sleman
970000000,"Ngaglik, Sleman",4,2,176.0,Sleman
8900000000,"Depok, Sleman",5,5,1280.0,Sleman
5900000000,"Depok, Sleman",4,4,1192.0,Sleman
1600000000,"Gamping, Sleman",5,5,131.0,Sleman
5000000000,"Depok, Sleman",9,6,438.0,Sleman
14000000000,"Kotagede, Yogyakarta",13,13,1200.0,Yogyakarta
675000000,"Kalasan, Sleman",3,2,125.0,Sleman
675000000,"Kalasan, Sleman",3,2,125.0,Sleman
795000000,"Gamping, Sleman",3,2,98.0,Sleman
580000000,"Kalasan, Sleman",3,2,100.0,Sleman
580000000,"Kalasan, Sleman",3,2,100.0,Sleman
2350000000,"Ngaglik, Sleman",10,10,103.0,Sleman
2200000000,"Ngaglik, Sleman",4,2,250.0,Sleman
549000000,"Kalasan, Sleman",2,1,90.0,Sleman
549000000,"Kalasan, Sleman",2,1,90.0,Sleman
585000000,"Kalasan, Sleman",3,2,100.0,Sleman
585000000,"Kalasan, Sleman",3,2,100.0,Sleman
8000000000,"Depok, Sleman",11,6,618.0,Sleman
500000000,"Kalasan, Sleman",2,2,120.0,Sleman
500000000,"Kalasan, Sleman",2,2,120.0,Sleman
