price,listing-location,bed,bath,surface_area,location,price_per_surface
750000000,"Ngaglik, Sleman",2,2,99.0,Sleman,7575757.575757576
1650000000,"Depok, Sleman",3,3,130.0,Sleman,12692307.692307692
999000000,"Depok, Sleman",4,4,103.0,Sleman,9699029.126213592
849000000,"Ngaglik, Sleman",3,2,120.0,Sleman,7075000.0
595000000,"Kalasan, Sleman",3,1,103.0,Sleman,5776699.029126214
595000000,"Kalasan, Sleman",3,1,103.0,Sleman,5776699.029126214
1400000000,"Sleman, Sleman",4,2,150.0,Sleman,9333333.333333334
3300000000,"Depok, Sleman",20,8,275.0,Sleman,12000000.0
1540000000,"Ngaglik, Sleman",4,4,120.0,Sleman,12833333.333333334
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
1450000000,"Ngemplak, Sleman",3,2,100.0,Sleman,14500000.0
1450000000,"Ngemplak, Sleman",3,2,100.0,Sleman,14500000.0
895000000,"Kalasan, Sleman",3,2,85.0,Sleman,10529411.764705881
1250000000,"Godean, Sleman",3,3,110.0,Sleman,11363636.363636363
562000000,"Sleman, Sleman",2,1,53.0,Sleman,10603773.58490566
725000000,"Sleman, Sleman",3,2,114.0,Sleman,6359649.1228070175
700000000,"Kalasan, Sleman",2,1,94.0,Sleman,7446808.510638298
1900000000,"Ngaglik, Sleman",2,1,198.0,Sleman,9595959.595959596
1250000000,"Jombor, Sleman",4,3,108.0,Sleman,11574074.074074075
675000000,"Gamping, Sleman",3,2,108.0,Sleman,6250000.0
1250000000,"Depok, Sleman",5,3,145.0,Sleman,8620689.655172413
1900000000,"Ngaglik, Sleman",4,2,162.0,Sleman,11728395.061728396
2000000000,"Depok, Sleman",3,5,158.0,Sleman,12658227.848101266
1980000000,"Ngaglik, Sleman",5,3,175.0,Sleman,11314285.714285715
4200000000,"Depok, Sleman",4,4,300.0,Sleman,14000000.0
880000000,"Depok, Sleman",3,2,104.0,Sleman,8461538.461538462
4000000000,"Depok, Sleman",10,10,273.0,Sleman,14652014.652014652
750000000,"Ngemplak, Sleman",3,1,103.0,Sleman,7281553.398058252
1520000000,"Ngaglik, Sleman",4,2,99.0,Sleman,15353535.353535354
520000000,"Sayegan, Sleman",2,1,90.0,Sleman,5777777.777777778
1700000000,"Gamping, Sleman",5,3,144.0,Sleman,11805555.555555556
1700000000,"Ngaglik, Sleman",2,1,114.0,Sleman,14912280.701754386
1700000000,"Gamping, Sleman",5,3,144.0,Sleman,11805555.555555556
1950000000,"Depok, Sleman",5,6,166.0,Sleman,11746987.951807229
487000000,"Cebongan, Sleman",3,1,95.0,Sleman,5126315.7894736845
999000000,"Godean, Sleman",3,1,145.0,Sleman,6889655.172413793
480000000,"Sayegan, Sleman",3,1,92.0,Sleman,5217391.304347826
532000000,"Godean, Sleman",3,1,91.0,Sleman,5846153.846153846
555000000,"Sayegan, Sleman",3,1,114.0,Sleman,4868421.052631579
530000000,"Mlati, Sleman",3,1,90.0,Sleman,5888888.888888889
2500000000,"Ngaglik, Sleman",4,4,265.0,Sleman,9433962.264150944
520000000,"Godean, Sleman",2,1,90.0,Sleman,5777777.777777778
735000000,"Ngemplak, Sleman",3,2,105.0,Sleman,7000000.0
1800000000,"Ngemplak, Sleman",4,2,168.0,Sleman,10714285.714285715
775000000,"Ngemplak, Sleman",3,2,113.0,Sleman,6858407.079646017
1500000000,"Kalasan, Sleman",5,3,158.0,Sleman,9493670.88607595
500000000,"Prambanan, Sleman",2,2,90.0,Sleman,5555555.555555556
900000000,"Ngaglik, Sleman",3,2,195.0,Sleman,4615384.615384615
700000000,"Berbah, Sleman",3,1,110.0,Sleman,6363636.363636363
375000000,"Kalasan, Sleman",2,1,72.0,Sleman,5208333.333333333
2200000000,"Ngaglik, Sleman",3,3,150.0,Sleman,14666666.666666666
1500000000,"Kalasan, Sleman",3,2,158.0,Sleman,9493670.88607595
4500000000,"Mlati, Sleman",4,4,564.0,Sleman,7978723.404255319
1200000000,"Depok, Sleman",3,2,130.0,Sleman,9230769.23076923
1790000000,"Ngaglik, Sleman",10,10,205.0,Sleman,8731707.31707317
520000000,"Mlati, Sleman",2,1,90.0,Sleman,5777777.777777778
395000000,"Pakem, Sleman",2,1,75.0,Sleman,5266666.666666667
783000000,"Gamping, Sleman",3,2,79.0,Sleman,9911392.405063292
1700000000,"Gamping, Sleman",4,2,144.0,Sleman,11805555.555555556
775000000,"Ngemplak, Sleman",3,2,145.0,Sleman,5344827.586206896
2450000000,"Kalasan, Sleman",4,4,175.0,Sleman,14000000.0
1100000000,"Godean, Sleman",3,1,145.0,Sleman,7586206.8965517245
1100000000,"Condong Catur, Sleman",3,2,150.0,Sleman,7333333.333333333
498000000,"Godean, Sleman",3,2,90.0,Sleman,5533333.333333333
2500000000,"Ngaglik, Sleman",2,1,209.0,Sleman,11961722.488038277
495000000,"Ngemplak, Sleman",2,1,72.0,Sleman,6875000.0
592000000,"Godean, Sleman",2,1,104.0,Sleman,5692307.692307692
1400000000,"Ngemplak, Sleman",3,4,150.0,Sleman,9333333.333333334
730000000,"Kalasan, Sleman",3,2,100.0,Sleman,7300000.0
4500000000,"Ngaglik, Sleman",12,8,650.0,Sleman,6923076.923076923
885000000,"Kalasan, Sleman",2,2,156.0,Sleman,5673076.923076923
885000000,"Kalasan, Sleman",2,2,156.0,Sleman,5673076.923076923
4700000000,"Ngaglik, Sleman",4,3,334.0,Sleman,14071856.28742515
4500000000,"Ngaglik, Sleman",12,8,650.0,Sleman,6923076.923076923
1470000000,"Depok, Sleman",4,3,178.0,Sleman,8258426.9662921345
1400000000,"Ngemplak, Sleman",3,4,150.0,Sleman,9333333.333333334
594000000,"Sleman, Sleman",2,1,79.0,Sleman,7518987.341772152
1490000000,"Kalasan, Sleman",5,4,126.0,Sleman,11825396.825396825
2230000000,"Ngaglik, Sleman",10,10,230.0,Sleman,9695652.173913043
580000000,"Kalasan, Sleman",3,2,100.0,Sleman,5800000.0
580000000,"Kalasan, Sleman",3,2,100.0,Sleman,5800000.0
680000000,"Ngaglik, Sleman",3,1,97.0,Sleman,7010309.278350515
3200000000,"Kalasan, Sleman",5,4,229.0,Sleman,13973799.126637554
2530000000,"Kalasan, Sleman",5,4,178.0,Sleman,14213483.146067416
295000000,"Kalasan, Sleman",2,1,36.0,Sleman,8194444.444444444
1970000000,"Ngaglik, Sleman",3,3,137.0,Sleman,14379562.043795621
571000000,"Sleman, Sleman",2,1,79.0,Sleman,7227848.101265823
610000000,"Sleman, Sleman",2,1,89.0,Sleman,6853932.584269663
591000000,"Sleman, Sleman",2,1,84.0,Sleman,7035714.285714285
580000000,"Sleman, Sleman",2,1,81.0,Sleman,7160493.8271604935
565000000,"Sleman, Sleman",2,1,76.0,Sleman,7434210.52631579
850000000,"Ngemplak, Sleman",2,1,93.0,Sleman,9139784.946236558
622000000,"Mlati, Sleman",2,1,115.0,Sleman,5408695.652173913
910000000,"Sleman, Sleman",4,2,106.0,Sleman,8584905.660377359
2400000000,"Ngaglik, Sleman",3,2,238.0,Sleman,10084033.613445379
1300000000,"Depok, Sleman",4,3,144.0,Sleman,9027777.777777778
850000000,"Sleman, Sleman",2,1,105.0,Sleman,8095238.095238095
4700000000,"Ngaglik, Sleman",4,3,334.0,Sleman,14071856.28742515
485000000,"Sayegan, Sleman",3,1,91.0,Sleman,5329670.32967033
520000000,"Godean, Sleman",2,1,90.0,Sleman,5777777.777777778
549000000,"Ngaglik, Sleman",2,1,90.0,Sleman,6100000.0
1900000000,"Ngaglik, Sleman",2,1,198.0,Sleman,9595959.595959596
775000000,"Kalasan, Sleman",3,2,145.0,Sleman,5344827.586206896
735000000,"Ngemplak, Sleman",3,2,105.0,Sleman,7000000.0
1250000000,"Ngaglik, Sleman",4,3,168.0,Sleman,7440476.19047619
765000000,"Kalasan, Sleman",3,2,118.0,Sleman,6483050.847457627
1780000000,"Depok, Sleman",5,3,120.0,Sleman,14833333.333333334
